artist	track	wks	t10	pk_rank	pk_streams	total_streams
Jung Kook	Seven	84	84	1	7520027	200422960
Jimin	Like Crazy	75	67	1	2279475	80209862
Jung Kook	Standing Next to You	67	56	1	2668061	79103189
Jimin	Who	31	30	1	4621573	68731532
V	Love Me Again	70	50	2	1907238	54773344
Emcee L (Da LAB)	Chuyện Đôi Ta	167	32	3	468550	51004318
RPT MCK	Chìm Sâu	155	34	1	582379	49175271
Sơn Tùng M-TP	Chúng Ta Của Hiện Tại	217	53	1	931581	48017290
tlinh	nếu lúc đó	103	31	1	1611555	47507887
GREY D	vaicaunoicokhiennguoithaydoi	139	39	2	529790	47031929
Madihu	Vì Anh Đâu Có Biết	132	42	2	554094	46803940
Wren Evans	Từng Quen	69	32	1	2119284	43740710
Jung Kook	3D	73	23	2	3040222	43562278
Sơn Tùng M-TP	Muộn Rồi Mà Sao Còn	199	40	1	1208277	40100840
HIEUTHUHAI	Không Thể Say	96	5	7	936223	39069894
Emcee L (Da LAB)	Sinh Ra Đã Là Thứ Đối Lập Nhau	178	0	17	381862	38836758
T.R.I	Ánh Sao Và Bầu Trời	171	11	1	329462	37701782
JSOL	Sài Gòn Hôm Nay Mưa	194	8	3	323601	37299628
Da LAB	Chạy Khỏi Thế Giới Này	134	0	11	468161	36440710
Low G	An Thần	173	6	2	399579	36104295
CoolKid	Sau Cơn Mưa	77	9	8	768047	35588817
RHYDER	Chịu Cách Mình Nói Thua	65	19	6	902974	35504882
RPT MCK	Anh Đã Ổn Hơn	103	14	3	699345	34628673
Đen	Lối Nhỏ	277	29	1	263976	34296306
Sơn Tùng M-TP	Đừng Làm Trái Tim Anh Đau	37	13	1	3445288	33743764
Đen	Đi Về Nhà	217	11	3	627702	33480792
RPT Orijinn	Don't Côi	113	4	3	451388	33401302
14 Casper	bao tiền một mớ bình yên?	154	2	9	314877	33361925
Madihu	Có Em	147	6	4	346132	33117230
Lynk Lee	Buồn Thì Cứ Khóc Đi	268	4	10	225401	33063699
HIEUTHUHAI	Exit Sign	51	25	4	1283117	32544664
Da LAB	Thức Giấc	188	12	1	370936	32448944
Vũ.	Lạ Lùng	358	0	17	259409	32427937
W/N	id 072019	82	10	3	708196	32268074
Charlie Puth	Left and Right (Feat. Jung Kook of BTS)	76	28	1	2322728	32076927
tlinh	Thích Quá Rùi Nà	230	0	34	361430	31995363
Da LAB	Thanh Xuan	335	22	1	204075	31848662
W/N	3107 3	185	8	1	312899	31723473
BTS	Butter	95	72	1	1846851	31651140
Vũ.	Những Lời Hứa Bỏ Quên	62	16	1	1678086	31537668
Vũ.	Bước Qua Mùa Cô Đơn	216	20	1	339091	31394417
Olew	Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau	109	2	8	359170	31192659
BTS	Dynamite	143	52	1	2491980	30421377
HIEUTHUHAI	ngủ một mình (tình rất tình)	114	8	2	405040	29886930
HIEUTHUHAI	Nghe Như Tình Yêu	178	0	35	423511	29385899
Dhruv	double take	190	13	8	257561	28570622
Minh Huy	Miên Man	76	0	11	474231	28494934
GREY D	đưa em về nhàa	96	11	3	779286	28301973
WEAN	shhhhhhh..	72	1	9	580811	28158056
Sơn Tùng M-TP	Âm Thầm Bên Em	225	0	34	395787	27479467
W/N	3 1 0 7	189	0	11	217226	27400862
Wren Evans	Thích Em Hơi Nhiều	170	9	1	405591	27366853
MONSTAR	có hẹn với thanh xuân	161	8	5	301255	27245076
GREY D	dự báo thời tiết hôm nay mưa	118	3	7	314352	27138609
Low G	Simp Gái 808	71	4	9	680502	26901384
Thịnh Suy	Chuyện Rằng	215	23	5	186985	26547962
RPT MCK	Chỉ Một Đêm Nữa Thôi	99	1	9	434649	26323790
Đen	Bài Này Chill Phết	285	36	1	181120	26216480
JustaTee	Thằng Điên	123	0	25	280292	26040292
Karik	Bạn Đời	73	11	5	875706	25825689
NÂN	Tình Đắng Như Ly Cà Phê	223	0	15	197844	25715067
Puppy	Wrong Times	68	12	3	1002819	25314117
Thịnh Suy	tiny love	151	8	3	297018	25230726
buitruonglinh	Dù Cho Mai Về Sau	203	1	10	220555	25142258
Sơn Tùng M-TP	Chúng Ta Của Tương Lai	50	16	1	2555804	24664766
Phương Ly	Anh Là Ngoại Lệ Của Em	72	8	7	777726	24531515
Vũ Cát Tường	Từng Là	51	15	2	1159599	24383957
JustaTee	2AM	145	0	18	328631	24126034
Changg	Em Không Hiểu	189	0	27	238224	23698450
HIEUTHUHAI	NOLOVENOLIFE	71	0	24	542111	23467182
Vũ.	Bình Yên	25	18	4	1394677	23236028
Ronboogz	nhắn nhủ	62	0	14	470432	22796511
The Weeknd	One Of The Girls	87	0	11	357970	22624930
Vũ Phụng Tiên	Lệ Lưu Ly	74	10	6	674619	22593683
PC	10 Ngàn Năm	140	0	27	341064	22438499
Andree Right Hand	Chơi Như Tụi Mỹ	92	7	4	582880	22414138
RPT MCK	Tại Vì Sao	105	7	3	455060	22398648
Hoàng Dũng	Nàng Thơ	171	21	2	287727	22103822
Ronboogz	Lan Man	97	0	33	370914	21659309
Chillies	Cứ Chill Thôi	183	7	5	186191	21575194
MONSTAR	tình yêu chậm trễ	114	0	46	259629	21380545
Dương Domic	Mất Kết Nối	13	12	2	2123484	20946535
Thịnh Suy	Chết Trong Em	117	4	4	289666	20837241
Kuun Đức Nam	Tình cờ yêu em	78	0	12	445790	20819285
UMIE	Không Yêu Xin Đừng Nói - Piano Version	100	0	37	246294	20799960
Da LAB	Gác Lại Âu Lo	172	32	2	221112	20505375
Vũ Cát Tường	Mo	129	0	21	473030	20320726
Sơn Tùng M-TP	Nơi Này Có Anh	291	0	12	345706	20209513
Andiez	Anh Đánh Rơi Người Yêu Này	115	0	19	262317	20172080
Tóc Tiên	Có Ai Thương Em Như Anh	125	0	20	269455	20134331
W/N	3 1 0 7 - 2	194	0	27	195632	19993724
2T	Liệu Giờ	186	0	22	201513	19722724
Lady Gaga	Die With A Smile	27	9	4	1106977	19707527
Vũ.	Bước Qua Nhau	120	23	1	584785	19449346
Myra Trần	Anh Chưa Thương Em Đến Vậy Đâu	95	5	6	356477	19092218
Orange	Khi Em Lớn	172	9	4	237792	19012815
V	Slow Dancing	29	14	2	1597799	18778293
Lou Hoàng	Yêu Một Người Có Lẽ	163	0	33	239904	18731489
ROSÉ	APT.	18	16	2	2215577	18554223
VSOUL	Buồn Hay Vui	38	11	3	1292749	18527587
RPT MCK	Thôi Em Đừng Đi	79	1	8	394385	18516223
The Masked Singer	Rồi Em Sẽ Gặp Một Chàng Trai Khác	62	0	11	529688	18482647
HIEUTHUHAI	Bật Nhạc Lên	219	0	59	220297	18430466
