track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable	wks	t10	pk_rank	pk_streams	total_streams
Seven (feat. Latto) (Explicit Ver.)	GOLDEN	Jung Kook	['k-pop']	2023-11-03	183550.0	81.0	True	True	84	84	1	7520027	200422960
Like Crazy	FACE	Jimin	['k-pop']	2023-03-24	212241.0	71.0	False	True	75	67	1	2279475	80209862
Standing Next to You	GOLDEN	Jung Kook	['k-pop']	2023-11-03	206019.0	82.0	False	True	67	56	1	2668061	79103189
Who	MUSE	Jimin	['k-pop']	2024-07-19	170887.0	87.0	False	True	31	30	1	4621573	68731532
Love Me Again	Layover	V	['k-pop']	2023-08-11	182293.0	72.0	False	True	70	50	2	1907238	54773344
Chuyện Đôi Ta (feat. Muộii)	Chuyện Đôi Ta (feat. Muộii)	Emcee L (Da LAB)	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2021-12-01	208048.0	60.0	False	True	167	32	3	468550	51004318
Chìm Sâu	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	156303.0	53.0	True	True	155	34	1	582379	49175271
Chúng Ta Của Hiện Tại	Chúng Ta Của Hiện Tại	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2020-12-20	301538.0	58.0	False	True	217	53	1	931581	48017290
nếu lúc đó	ái	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-08-16	263752.0	57.0	False	True	103	31	1	1611555	47507887
vaicaunoicokhiennguoithaydoi	vaicaunoicokhiennguoithaydoi	GREY D	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-06-20	225862.0	58.0	False	True	139	39	2	529790	47031929
Vì Anh Đâu Có Biết	Vì Anh Đâu Có Biết	Madihu	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-08-04	241919.0	59.0	False	True	132	42	2	554094	46803940
Từng Quen	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	174545.0	55.0	False	True	69	32	1	2119284	43740710
3D (feat. Jack Harlow)	GOLDEN	Jung Kook	['k-pop']	2023-11-03	201812.0	78.0	True	True	73	23	2	3040222	43562278
Muộn Rồi Mà Sao Còn	Muộn Rồi Mà Sao Còn	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2021-04-29	275905.0	57.0	False	True	199	40	1	1208277	40100840
Không Thể Say	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	228413.0	64.0	False	True	96	5	7	936223	39069894
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)	Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)	Emcee L (Da LAB)	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2020-12-29	234168.0	59.0	False	True	178	0	17	381862	38836758
Ánh Sao Và Bầu Trời	Ánh Sao Và Bầu Trời	T.R.I	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2021-09-10	260571.0	57.0	False	True	171	11	1	329462	37701782
Sài Gòn Hôm Nay Mưa	Sài Gòn Hôm Nay Mưa	JSOL	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop']	2021-05-29	247058.0	56.0	False	True	194	8	3	323601	37299628
Chạy Khỏi Thế Giới Này	Chạy Khỏi Thế Giới Này	Da LAB	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-06-30	255429.0	53.0	False	True	134	0	11	468161	36440710
An Thần	An Thần	Low G	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2021-10-21	174286.0	58.0	False	True	173	6	2	399579	36104295
Sau Cơn Mưa	Sau Cơn Mưa	CoolKid	['v-pop', 'vietnamese hip hop']	2023-07-28	154756.0	63.0	False	True	77	9	8	768047	35588817
Chịu Cách Mình Nói Thua	Chịu Cách Mình Nói Thua	RHYDER	['v-pop', 'vietnamese hip hop']	2023-11-22	181558.0	63.0	False	True	65	19	6	902974	35504882
Anh Đã Ổn Hơn	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	194005.0	56.0	False	True	103	14	3	699345	34628673
Lối Nhỏ	Lối Nhỏ	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2019-10-21	252953.0	56.0	False	True	277	29	1	263976	34296306
Đừng Làm Trái Tim Anh Đau	Đừng Làm Trái Tim Anh Đau	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2024-06-08	279208.0	64.0	False	True	37	13	1	3445288	33743764
Đi Về Nhà	Đi Về Nhà	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2020-12-20	200000.0	59.0	False	True	217	11	3	627702	33480792
Don't Côi	Don't Côi	RPT Orijinn	['vietnamese hip hop', 'v-pop']	2022-11-20	148880.0	55.0	True	True	113	4	3	451388	33401302
bao tiền một mớ bình yên?	SỐ KHÔNG	14 Casper	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2023-03-03	300000.0	55.0	False	True	154	2	9	314877	33361925
Có Em	Có em	Madihu	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-04-22	218512.0	55.0	False	True	147	6	4	346132	33117230
