track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable
Seven (feat. Latto) (Explicit Ver.)	GOLDEN	Jung Kook	['k-pop']	2023-11-03	183550.0	81.0	True	True
Like Crazy	FACE	Jimin	['k-pop']	2023-03-24	212241.0	71.0	False	True
Standing Next to You	GOLDEN	Jung Kook	['k-pop']	2023-11-03	206019.0	82.0	False	True
Who	MUSE	Jimin	['k-pop']	2024-07-19	170887.0	87.0	False	True
Love Me Again	Layover	V	['k-pop']	2023-08-11	182293.0	72.0	False	True
Chuyện Đôi Ta (feat. Muộii)	Chuyện Đôi Ta (feat. Muộii)	Emcee L (Da LAB)	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2021-12-01	208048.0	60.0	False	True
Chìm Sâu	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	156303.0	53.0	True	True
Chúng Ta Của Hiện Tại	Chúng Ta Của Hiện Tại	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2020-12-20	301538.0	58.0	False	True
nếu lúc đó	ái	tlinh	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-08-16	263752.0	57.0	False	True
vaicaunoicokhiennguoithaydoi	vaicaunoicokhiennguoithaydoi	GREY D	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-06-20	225862.0	58.0	False	True
Vì Anh Đâu Có Biết	Vì Anh Đâu Có Biết	Madihu	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-08-04	241919.0	59.0	False	True
Từng Quen	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	174545.0	55.0	False	True
3D (feat. Jack Harlow)	GOLDEN	Jung Kook	['k-pop']	2023-11-03	201812.0	78.0	True	True
Muộn Rồi Mà Sao Còn	Muộn Rồi Mà Sao Còn	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2021-04-29	275905.0	57.0	False	True
Không Thể Say	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	228413.0	64.0	False	True
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)	Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)	Emcee L (Da LAB)	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2020-12-29	234168.0	59.0	False	True
Ánh Sao Và Bầu Trời	Ánh Sao Và Bầu Trời	T.R.I	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']	2021-09-10	260571.0	57.0	False	True
Sài Gòn Hôm Nay Mưa	Sài Gòn Hôm Nay Mưa	JSOL	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop']	2021-05-29	247058.0	56.0	False	True
Chạy Khỏi Thế Giới Này	Chạy Khỏi Thế Giới Này	Da LAB	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-06-30	255429.0	53.0	False	True
An Thần	An Thần	Low G	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2021-10-21	174286.0	58.0	False	True
Sau Cơn Mưa	Sau Cơn Mưa	CoolKid	['v-pop', 'vietnamese hip hop']	2023-07-28	154756.0	63.0	False	True
Chịu Cách Mình Nói Thua	Chịu Cách Mình Nói Thua	RHYDER	['v-pop', 'vietnamese hip hop']	2023-11-22	181558.0	63.0	False	True
Anh Đã Ổn Hơn	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	194005.0	56.0	False	True
Lối Nhỏ	Lối Nhỏ	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2019-10-21	252953.0	56.0	False	True
Đừng Làm Trái Tim Anh Đau	Đừng Làm Trái Tim Anh Đau	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2024-06-08	279208.0	64.0	False	True
Đi Về Nhà	Đi Về Nhà	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2020-12-20	200000.0	59.0	False	True
Don't Côi	Don't Côi	RPT Orijinn	['vietnamese hip hop', 'v-pop']	2022-11-20	148880.0	55.0	True	True
bao tiền một mớ bình yên?	SỐ KHÔNG	14 Casper	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2023-03-03	300000.0	55.0	False	True
Có Em	Có em	Madihu	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-04-22	218512.0	55.0	False	True
Buồn Thì Cứ Khóc Đi	Buồn Thì Cứ Khóc Đi	Lynk Lee	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']	2019-12-13	222314.0	55.0	False	True
Exit Sign	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	201589.0	66.0	False	True
Thức Giấc	Thức Giấc	Da LAB	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2021-07-14	269021.0	57.0	False	True
Lạ Lùng	Lạ Lùng	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2016-12-24	261616.0	55.0	False	True
